gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
0,-56.16406380539397,-75.72445805390187,0.490454519185968,0.2,0.0,-1.6,moon,1.7162270545959473
1,-52.66251586618076,-72.63374906351513,0.48233743429320963,0.20400000000000001,0.0025,-1.6,moon,0.20542383193969727
2,-49.963574708463206,-67.10102239876221,0.4752143421581045,0.20800000000000002,0.005,-1.6,moon,0.23511981964111328
3,-57.02894712329017,-66.39855792291671,0.4687632264382759,0.21200000000000002,0.0075,-1.6,moon,0.27530908584594727
4,-41.63397789984484,-63.459167290579124,0.46292820804504337,0.21600000000000003,0.01,-1.6,moon,0.2573659420013428
5,-50.32270641593582,-63.028505991547924,0.45781094492699986,0.22000000000000003,0.0125,-1.6,moon,0.31209325790405273
6,-51.525146578950626,-64.91224996559234,0.4530516687357254,0.224,0.015,-1.6,moon,0.2964930534362793
7,-44.252957008250014,-64.00704728411935,0.44860352298403827,0.228,0.0175,-1.6,moon,0.30107712745666504
8,-53.06292025339462,-63.0625523150832,0.4445841296818176,0.232,0.02,-1.6,moon,0.30876803398132324
9,-43.473494817274876,-61.03034236681749,0.44072917081546936,0.23600000000000002,0.0225,-1.6,moon,0.3240208625793457
10,-48.60882514533898,-63.886116017171254,0.4372292174458982,0.24000000000000002,0.025,-1.6,moon,0.306441068649292
11,-37.83822074405055,-62.186513402838116,0.43412288827762663,0.24400000000000002,0.0275,-1.6,moon,0.30219197273254395
12,-31.403369621336356,-62.06695645682896,0.43133969648957976,0.248,0.03,-1.6,moon,0.4203457832336426
13,-36.380806615386206,-60.23261211403923,0.42854037341409384,0.252,0.0325,-1.6,moon,0.45387911796569824
14,-37.951353988843685,-61.50376112381086,0.4261010715225618,0.256,0.035,-1.6,moon,0.41927194595336914
15,-36.40653332822832,-63.87803294472824,0.42377202851224594,0.26,0.0375,-1.6,moon,0.45243215560913086
16,-28.545337778520956,-64.3617442989931,0.42142667688476243,0.264,0.04,-1.6,moon,0.4306349754333496
17,12.248881500425078,-64.78338643851491,0.41917349745340987,0.268,0.0425,-1.6,moon,0.5496509075164795
18,30.581962042049724,-58.825362452630884,0.4173152388950211,0.272,0.045,-1.6,moon,0.5621180534362793
19,-14.575697502223084,-59.19449110791102,0.41553955092218914,0.276,0.0475,-1.6,moon,0.5829689502716064
20,-19.582791487308004,-59.533693742336894,0.41395144385673815,0.28,0.05,-1.6,moon,0.5468690395355225
21,-13.61724374290983,-63.44432443578751,0.4124281996896321,0.28400000000000003,0.0525,-1.6,moon,0.6520447731018066
22,80.6033168764649,-50.99515716111937,0.41112524499085623,0.28800000000000003,0.055,-1.6,moon,0.727881908416748
23,-3.013089765251555,-58.30924141564168,0.40994247418538093,0.29200000000000004,0.0575,-1.6,moon,0.7461409568786621
24,147.96143852893562,-28.75364096307746,0.4089156604643789,0.29600000000000004,0.06,-1.6,moon,0.9450438022613525
25,171.74797990795778,-33.713171236315276,0.4079078014537362,0.30000000000000004,0.0625,-1.6,moon,0.8439371585845947
26,214.07234332232272,-31.471712595219135,0.40704915843978146,0.30400000000000005,0.065,-1.6,moon,0.8180041313171387
27,222.59106013643233,2.2936033916038694,0.4062795093300843,0.30800000000000005,0.0675,-1.6,moon,1.0376646518707275
